"Year","Length","number","Weight.g","total.Weight.kg"
2005,40,54,5.16318804947653,0.278812154671733
2005,41,55,5.19774938546564,0.28587621620061
2005,42,37,5.23147783657995,0.193564679953458
2005,43,57,5.26441260296031,0.300071518368738
2005,44,53,5.29659018079593,0.280719279582184
2005,45,38,5.32804460542983,0.202465695006334
2005,46,28,5.35880766774253,0.150046614696791
2005,47,33,5.38890910726304,0.17783400053968
2005,48,10,5.41837678494759,0.0541837678494759
2005,49,13,5.44723683814211,0.0708140788958474
2005,50,4,5.47551381988857,0.0219020552795543
2005,51,4,5.50323082443581,0.0220129232977432
2005,52,1,5.53040960056233,0.00553040960056233
2005,53,1,5.55707065410451,0.00555707065410451
2005,57,1,5.65890922952874,0.00565890922952874
2006,26,1,4.56023714474943,0.00456023714474943
2006,27,3,4.61306088508799,0.013839182655264
2006,29,7,4.71307935233531,0.0329915554663471
2006,30,15,4.76053009954673,0.071407951493201
2006,31,39,4.80642480102724,0.187450567240062
2006,32,41,4.85086227906449,0.198885353441644
2006,33,64,4.89393223086613,0.313211662775433
2006,34,88,4.93571631855271,0.434343036032638
2006,35,93,4.97628910110889,0.462794886403127
2006,36,98,5.01571883501779,0.491540445831743
2006,37,115,5.05406816517501,0.581217838995126
2006,38,100,5.09139472364564,0.509139472364564
2006,39,94,5.12775165063253,0.482008655159458
2006,40,60,5.16318804947653,0.309791282968592
2006,41,46,5.19774938546564,0.23909647173142
2006,42,32,5.23147783657995,0.167407290770558
2006,43,25,5.26441260296031,0.131610315074008
2006,44,25,5.29659018079593,0.132414754519898
2006,45,23,5.32804460542983,0.122545025924886
2006,46,9,5.35880766774253,0.0482292690096828
2006,47,15,5.38890910726304,0.0808336366089456
2006,48,11,5.41837678494759,0.0596021446344235
2006,49,5,5.44723683814211,0.0272361841907105
2006,50,4,5.47551381988857,0.0219020552795543
2006,51,4,5.50323082443581,0.0220129232977432
2006,53,1,5.55707065410451,0.00555707065410451
2007,27,2,4.61306088508799,0.00922612177017598
2007,28,2,4.66396333069685,0.0093279266613937
2007,29,7,4.71307935233531,0.0329915554663471
2007,30,13,4.76053009954673,0.0618868912941075
2007,31,23,4.80642480102724,0.110547770423626
2007,32,32,4.85086227906449,0.155227592930064
2007,33,46,4.89393223086613,0.225120882619842
2007,34,39,4.93571631855271,0.192492936423556
2007,35,47,4.97628910110889,0.233885587752118
2007,36,29,5.01571883501779,0.145455846215516
2007,37,45,5.05406816517501,0.227433067432875
2007,38,40,5.09139472364564,0.203655788945826
2007,39,34,5.12775165063253,0.174343556121506
2007,40,38,5.16318804947653,0.196201145880108
2007,41,36,5.19774938546564,0.187118977876763
2007,42,39,5.23147783657995,0.204027635626618
2007,43,34,5.26441260296031,0.178990028500651
2007,44,41,5.29659018079593,0.217160197412633
2007,45,42,5.32804460542983,0.223777873428053
2007,46,46,5.35880766774253,0.246505152716156
2007,47,41,5.38890910726304,0.220945273397785
2007,48,31,5.41837678494759,0.167969680333375
2007,49,34,5.44723683814211,0.185206052496832
2007,50,33,5.47551381988857,0.180691956056323
2007,51,26,5.50323082443581,0.143084001435331
2007,52,30,5.53040960056233,0.16591228801687
2007,53,18,5.55707065410451,0.100027271773881
2007,54,22,5.58323334090089,0.12283113349982
2007,55,14,5.60891595120797,0.0785248233169116
2007,56,10,5.63413578650975,0.0563413578650975
